date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-12-01,BA,Itapebi,city,733,25,True,10215,2916302,7175.72198,0.0341
2021-12-01,BA,Itapetinga,city,6206,152,True,76795,2916401,8081.25529,0.0245
2021-12-01,BA,Itapicuru,city,1629,24,True,35883,2916500,4539.7542,0.0147
2021-12-01,BA,Itapitanga,city,933,15,True,10298,2916609,9060.01165,0.0161
2021-12-01,BA,Itaquara,city,698,9,True,8347,2916708,8362.28585,0.0129
2021-12-01,BA,Itarantim,city,731,28,True,19843,2916807,3683.91876,0.0383
2021-12-01,BA,Itatim,city,857,26,True,14539,2916856,5894.49068,0.0303
2021-12-01,BA,Itiruçu,city,1005,25,True,12528,2916906,8022.03065,0.0249
2021-12-01,BA,Itiúba,city,1696,39,True,36116,2917003,4695.97962,0.023
2021-12-01,BA,Itororó,city,3370,34,True,20388,2917102,16529.33098,0.0101
2021-12-01,BA,Ituaçu,city,1937,26,True,19030,2917201,10178.66527,0.0134
2021-12-01,BA,Ituberá,city,1896,51,True,28740,2917300,6597.07724,0.0269
2021-12-01,BA,Iuiu,city,945,12,True,11016,2917334,8578.43137,0.0127
2021-12-01,BA,Jaborandi,city,751,10,True,8277,2917359,9073.33575,0.0133
2021-12-01,BA,Jacaraci,city,820,18,True,14850,2917409,5521.88552,0.022
2021-12-01,BA,Jacobina,city,7262,110,True,80635,2917508,9006.01476,0.0151
2021-12-01,BA,Jaguaquara,city,6169,64,True,54673,2917607,11283.44887,0.0104
2021-12-01,BA,Jaguarari,city,2260,50,True,33746,2917706,6697.09003,0.0221
2021-12-01,BA,Jaguaripe,city,1039,21,True,18981,2917805,5473.89495,0.0202
2021-12-01,BA,Jandaíra,city,639,13,True,10726,2917904,5957.48648,0.0203
2021-12-01,BA,Jequié,city,18159,397,True,156126,2918001,11630.99035,0.0219
2021-12-01,BA,Jeremoabo,city,2257,47,True,40651,2918100,5552.13894,0.0208
2021-12-01,BA,Jiquiriçá,city,1049,27,True,14557,2918209,7206.15511,0.0257
2021-12-01,BA,Jitaúna,city,1001,30,True,10808,2918308,9261.65803,0.03
2021-12-01,BA,João Dourado,city,1792,51,True,25402,2918357,7054.56263,0.0285
2021-12-01,BA,Juazeiro,city,18752,417,True,218162,2918407,8595.44742,0.0222
2021-12-01,BA,Jucuruçu,city,918,11,True,8988,2918456,10213.61816,0.012
2021-12-01,BA,Jussara,city,710,11,True,15262,2918506,4652.07705,0.0155
2021-12-01,BA,Jussari,city,663,11,True,5768,2918555,11494.45215,0.0166
2021-12-01,BA,Jussiape,city,368,9,True,5976,2918605,6157.96519,0.0245
2021-12-01,BA,Lafaiete Coutinho,city,438,6,True,3693,2918704,11860.2762,0.0137
2021-12-01,BA,Lagoa Real,city,859,10,True,15770,2918753,5447.05136,0.0116
2021-12-01,BA,Laje,city,1928,33,True,24032,2918803,8022.63648,0.0171
2021-12-01,BA,Lajedão,city,490,8,True,3975,2918902,12327.04403,0.0163
2021-12-01,BA,Lajedinho,city,299,1,True,3758,2919009,7956.35977,0.0033
2021-12-01,BA,Lajedo do Tabocal,city,703,14,True,8577,2919058,8196.33905,0.0199
2021-12-01,BA,Lamarão,city,435,8,True,8191,2919108,5310.70687,0.0184
2021-12-01,BA,Lapão,city,2318,35,True,27274,2919157,8498.93672,0.0151
2021-12-01,BA,Lauro de Freitas,city,24016,532,True,201635,2919207,11910.63059,0.0222
2021-12-01,BA,Lençóis,city,1093,18,True,11499,2919306,9505.17436,0.0165
2021-12-01,BA,Licínio de Almeida,city,456,10,True,12373,2919405,3685.44411,0.0219
2021-12-01,BA,Livramento de Nossa Senhora,city,3336,69,True,46062,2919504,7242.4124,0.0207
2021-12-01,BA,Luís Eduardo Magalhães,city,13430,152,True,90162,2919553,14895.41048,0.0113
2021-12-01,BA,Macajuba,city,842,9,True,11332,2919603,7430.28592,0.0107
2021-12-01,BA,Macarani,city,925,24,True,18909,2919702,4891.85044,0.0259
2021-12-01,BA,Macaúbas,city,2416,24,True,50161,2919801,4816.4909,0.0099
2021-12-01,BA,Macururé,city,336,9,True,7787,2919900,4314.88378,0.0268
2021-12-01,BA,Madre de Deus,city,2899,47,True,21432,2919926,13526.50243,0.0162
2021-12-01,BA,Maetinga,city,294,7,True,2764,2919959,10636.75832,0.0238
2021-12-01,BA,Maiquinique,city,940,13,True,10206,2920007,9210.26847,0.0138
2021-12-01,BA,Mairi,city,1350,16,True,18602,2920106,7257.28416,0.0119
2021-12-01,BA,Malhada,city,617,22,True,16861,2920205,3659.33219,0.0357
2021-12-01,BA,Malhada de Pedras,city,449,9,True,8359,2920304,5371.45592,0.02
2021-12-01,BA,Manoel Vitorino,city,1333,33,True,13087,2920403,10185.68045,0.0248
2021-12-01,BA,Mansidão,city,219,8,True,13734,2920452,1594.58279,0.0365
2021-12-01,BA,Maracás,city,3739,72,True,20393,2920502,18334.7227,0.0193
2021-12-01,BA,Maragogipe,city,2399,49,True,44793,2920601,5355.74755,0.0204
2021-12-01,BA,Maraú,city,1795,19,True,20617,2920700,8706.40733,0.0106
2021-12-01,BA,Marcionílio Souza,city,579,19,True,10380,2920809,5578.03468,0.0328
2021-12-01,BA,Mascote,city,853,23,True,13717,2920908,6218.56091,0.027
2021-12-01,BA,Mata de São João,city,4498,70,True,47126,2921005,9544.62505,0.0156
2021-12-01,BA,Matina,city,461,9,True,12283,2921054,3753.15477,0.0195
2021-12-01,BA,Medeiros Neto,city,2899,59,True,22716,2921104,12761.92992,0.0204
2021-12-01,BA,Miguel Calmon,city,2697,33,True,25894,2921203,10415.54028,0.0122
2021-12-01,BA,Milagres,city,657,7,True,10893,2921302,6031.39631,0.0107
2021-12-01,BA,Mirangaba,city,556,9,True,18474,2921401,3009.63516,0.0162
2021-12-01,BA,Mirante,city,535,8,True,8447,2921450,6333.60957,0.015
2021-12-01,BA,Monte Santo,city,1537,64,True,49278,2921500,3119.03892,0.0416
2021-12-01,BA,Morpará,city,341,14,True,8497,2921609,4013.18112,0.0411
2021-12-01,BA,Morro do Chapéu,city,2655,29,True,35440,2921708,7491.53499,0.0109
2021-12-01,BA,Mortugaba,city,966,13,True,12052,2921807,8015.26718,0.0135
2021-12-01,BA,Mucugê,city,573,11,True,8889,2921906,6446.16942,0.0192
2021-12-01,BA,Mucuri,city,4095,69,True,42251,2922003,9692.07829,0.0168
2021-12-01,BA,Mulungu do Morro,city,637,12,True,10673,2922052,5968.3313,0.0188
2021-12-01,BA,Mundo Novo,city,904,8,True,26970,2922102,3351.87245,0.0088
2021-12-01,BA,Muniz Ferreira,city,932,3,True,7443,2922201,12521.83259,0.0032
2021-12-01,BA,Muquém do São Francisco,city,668,8,True,11417,2922250,5850.92406,0.012
2021-12-01,BA,Muritiba,city,2432,29,True,29410,2922300,8269.29616,0.0119
2021-12-01,BA,Mutuípe,city,2315,27,True,22282,2922409,10389.5521,0.0117
2021-12-01,BA,Nazaré,city,2752,53,True,28594,2922508,9624.39673,0.0193
2021-12-01,BA,Nilo Peçanha,city,686,16,True,14079,2922607,4872.50515,0.0233
2021-12-01,BA,Nordestina,city,682,30,True,13164,2922656,5180.79611,0.044
2021-12-01,BA,Nova Canaã,city,736,22,True,16472,2922706,4468.18844,0.0299
2021-12-01,BA,Nova Fátima,city,734,5,True,7821,2922730,9384.98913,0.0068
2021-12-01,BA,Nova Ibiá,city,607,22,True,6554,2922755,9261.51968,0.0362
